"row","column","cor","p"
"FB","Max Flame Height",0.643170623960862,8.162803766254e-12
"FB","Flame Duration",-0.450770761770968,8.2561750569532e-06
"Max Flame Height","Flame Duration",-0.598319900191914,4.73368677589292e-10
"FB","Smoldering Duration",-0.0155750866390798,0.884156935026044
"Max Flame Height","Smoldering Duration",0.0131150650470725,0.902355368490643
"Flame Duration","Smoldering Duration",-0.170799752115359,0.107496168271544
"FB","Mass Loss",0.19626092608065,0.0637473827783506
"Max Flame Height","Mass Loss",0.243187412590683,0.0209093269164811
"Flame Duration","Mass Loss",-0.319994469052338,0.0021080569207852
"Smoldering Duration","Mass Loss",-0.225902435747622,0.0322821856288762
"FB","Mass Loss Rate",0.379860314343103,0.000221865277939326
"Max Flame Height","Mass Loss Rate",0.427042695812973,2.69848743315038e-05
"Flame Duration","Mass Loss Rate",-0.592214940202354,7.84356801730723e-10
"Smoldering Duration","Mass Loss Rate",-0.58188900272539,1.79980963466164e-09
"Mass Loss","Mass Loss Rate",0.575343521879208,3.00222136040418e-09
