"","","",""
"","FB","",""
"Species","mean","sd","std.error"
"Andropogon glomeratus","2.277","0.9890","0.3127"
"Andropogon ternarius","5.006","1.1638","0.3680"
"Andropogon virginicus","4.166","1.1238","0.3554"
"Aristida beyrichiana","3.178","0.3923","0.1240"
"Eragrostis spectabilis","4.512","0.7056","0.2231"
"Eustachys petraea","3.047","0.5947","0.1881"
"Schizachyrium stoloniferum","4.121","0.6704","0.2120"
"Sorghastrum secundum","2.458","0.9621","0.3042"
"Sprobulus juncus","3.351","0.5748","0.1818"
