"","","",""
"","Max_Height","",""
"Species","mean","sd","std.error"
"Andropogon glomeratus","13.65","2.759","0.8726"
"Andropogon ternarius","19.00","1.748","0.5528"
"Andropogon virginicus","15.40","2.644","0.8360"
"Aristida beyrichiana","16.95","2.020","0.6388"
"Eragrostis spectabilis","20.35","1.842","0.5824"
"Eustachys petraea","16.40","2.258","0.7141"
"Schizachyrium stoloniferum","15.75","1.477","0.4670"
"Sorghastrum secundum","11.25","3.294","1.0415"
"Sprobulus juncus","15.85","1.973","0.6238"
