"","","",""
"","Mass_Loss","",""
"Species","mean","sd","std.error"
"Andropogon glomeratus","87.38","3.614","1.1430"
"Andropogon ternarius","89.52","4.003","1.2660"
"Andropogon virginicus","90.95","4.822","1.5248"
"Aristida beyrichiana","88.58","2.819","0.8914"
"Eragrostis spectabilis","92.50","2.475","0.7827"
"Eustachys petraea","89.44","2.854","0.9024"
"Schizachyrium stoloniferum","91.53","3.746","1.1847"
"Sorghastrum secundum","85.20","6.558","2.0737"
"Sprobulus juncus","74.51","6.569","2.0772"
