"","","",""
"","Flame_Total","",""
"Species","mean","sd","std.error"
"Andropogon glomeratus"," 91.1","16.21"," 5.126"
"Andropogon ternarius"," 64.0","25.16"," 7.957"
"Andropogon virginicus"," 91.6","24.21"," 7.657"
"Aristida beyrichiana","107.4","12.06"," 3.813"
"Eragrostis spectabilis"," 61.5","19.44"," 6.147"
"Eustachys petraea"," 75.9","17.14"," 5.419"
"Schizachyrium stoloniferum"," 66.9","12.64"," 3.996"
"Sorghastrum secundum","103.8","35.06","11.086"
"Sprobulus juncus"," 95.1","23.44"," 7.411"
